"Cannot process payment. Order is canceled.","Kan ikke behandle betaling. Ordren er annulleret."
"Order has been already invoiced.","Ordren er allerede faktureret."
"There was an unsuccess autocapture operation.","Der var en mislykket automatisk optagelse."
"Cannot process payment. Order has been already processed.","Kan ikke behandle betaling. Ordren er allerede blevet behandlet."
"%s Transaction ID: ""%s""","%s Transaktion ID: ""%s"""
"Your order has been canceled.","Din ordre er blevet annulleret."
"Payment link is not set.","Betalingslink er ikke indstillet."
"Thank you for your purchase. You will soon receive a confirmation by email.","Tak for dit køb. Du vil snart modtage en bekræftelse på e-mail."
"Transaction has been declined. Please try again later.","Transaktionen er blevet afvist. Prøv igen senere."
"Sorry, but something went wrong","Beklager, men noget gik galt"
"Order attempted paid with test card!!!!","Ordre forsøgt betalt med testkort!!!!"
"Now is test mode. Test card was accepted.","Nu er testtilstand. Testkort blev accepteret."
"Authorize operation is not detected.","Autorisationshandling er ikke fundet."
"Cancel operation is not detected.","Annuller handling er ikke registreret."
"Capture operation is not detected.","Optagelsesoperation er ikke registreret."
"There is no transaction ID.","Der er ikke noget transaktions-id."
"There is no link to payment gateway.","Der er intet link til betalingsgateway."
"Refund operation is not detected.","Refusionsoperation er ikke fundet."
"All Payment Methods","Alle"
"All Creditcards","Alle kreditkort"
"As Specified","Som specificeret"
"After payment is authorized","Efter betaling er godkendt"
"After order is created (default Magento logic)","Efter ordre er oprettet (standard Magento logik)"
"Payment Link","Betalingsside"
"Go to payment page","Gå til betalingsside"
"Branding ID","Branding ID"
Access,Adgang
"API key","API-nøgle"
"Private Key","Privat nøgle"
Transaction,Transaktion
Autocapture,Automatisk optagelse
"Send Invoice Email","Send faktura E-mail"
"Text on statement","Tekst på erklæring"
"Text that will be placed on cardholder’s bank statement (MAX 22 ASCII characters and <strong>only supported by Clearhaus currently</strong>).<br>Has to start with Default descriptor, as described in your agreement with Clearhaus","Text that will be placed on cardholder’s bank statement (MAX 22 ASCII characters and <strong>only supported by Clearhaus currently</strong>).<br>Has to start with Default descriptor, as described in your agreement with Clearhaus"
"Add Transaction Fee","Tilføj transaktionsgebyr"
"Transaction Fee Label","Transaktionsgebyretiket"
"This will appear on the customers invoice","Dette vil fremgå af kundens faktura"
"Which card logos should be displayed","Hvilke kortlogoer skal vises"
"Payment Methods","Betalingsmetoder"
"Payment Method","Betalingsmetode"
"Type in the cards you wish to accept (comma separated). See the valid payment types here: <a href=""https://quickpay.net/uk/payment-methods"" target=""_blank"" rel=""noopener"">https://quickpay.net/uk/payment-methods</a>","Type in the cards you wish to accept (comma separated). See the valid payment types here: <a href=""https://quickpay.net/uk/payment-methods"" target=""_blank"" rel=""noopener"">https://quickpay.net/uk/payment-methods</a>"
"Card Type","Kort type"
"Card Owner","Kortindehaver"
"Card Expiration Date","Kortets udløbsdato"
"Acquirer","Indkøber"
"Acquirer Status","Indkøberstatus"
"QP Status","QP-status"
"Nin number","Nin-nummer"
"Nin country","Nin-land"
"Nin gender","Nin-køn"
"Timeout to cancel not paid orders","Timeout for at annullere ikke-betalte ordrer"
"Value in minutes. 0 - disable.","Værdi i minutter. 0 - deaktiver."
"Canceled by payment timeout.","Annulleret ved betalingstimeout."
"Cannot be less than 300.","Må ikke være mindre end 300."
